game_id,home_team,away_team,ml_pick,ml_home_prob,ml_away_prob,home_ml_bet,away_ml_bet,home_moneyline,away_moneyline,spread_pick,model_spread_margin,spread_edge,total_pick,projected_total,vegas_total_edge,total_low_q,total_high_q,total_buffer
2025_16_LA_SEA,SEA,LA,HOME,0.6,0.4,Bet,No Bet,-130.0,110.0,HOME,2.22,0.72,OVER,51.09,8.59,39.03,58.62,5.91
2025_16_GB_CHI,CHI,GB,HOME,0.64,0.36,Bet,No Bet,-110.0,-110.0,HOME,2.22,0.72,OVER,48.63,2.13,39.28,56.02,5.91
2025_16_PHI_WAS,WAS,PHI,AWAY,0.42,0.58,Bet,No Bet,250.0,-310.0,HOME,-5.78,0.72,UNDER,34.25,-10.25,28.49,44.64,5.91
2025_16_NE_BAL,BAL,NE,HOME,0.56,0.44,No Bet,Bet,-162.0,136.0,HOME,3.72,0.72,UNDER,39.24,-9.26,33.09,45.96,5.91
2025_16_TB_CAR,CAR,TB,HOME,0.62,0.38,Bet,No Bet,130.0,-155.0,HOME,-2.28,0.72,UNDER,45.14,-0.36,32.68,53.39,5.91
2025_16_BUF_CLE,CLE,BUF,HOME,0.62,0.38,Bet,No Bet,455.0,-625.0,HOME,-9.28,0.72,OVER,46.09,3.59,33.27,60.17,5.91
2025_16_LAC_DAL,DAL,LAC,AWAY,0.48,0.52,No Bet,Bet,-130.0,110.0,HOME,3.22,0.72,UNDER,43.78,-5.72,38.08,52.05,5.91
2025_16_NYJ_NO,NO,NYJ,HOME,0.52,0.48,No Bet,Bet,-230.0,190.0,HOME,5.22,0.72,OVER,42.45,1.95,27.29,54.48,5.91
2025_16_MIN_NYG,NYG,MIN,AWAY,0.5,0.5,Bet,No Bet,130.0,-155.0,HOME,-2.28,0.72,UNDER,39.98,-3.52,36.19,52.84,5.91
2025_16_KC_TEN,TEN,KC,AWAY,0.41,0.59,Bet,No Bet,145.0,-175.0,HOME,-2.28,0.72,OVER,51.89,14.39,37.69,59.4,5.91
2025_16_ATL_ARI,ARI,ATL,AWAY,0.4,0.6,No Bet,Bet,130.0,-155.0,HOME,-2.28,0.72,UNDER,45.22,-3.28,31.26,60.67,5.91
2025_16_JAX_DEN,DEN,JAX,HOME,0.6,0.4,No Bet,No Bet,-162.0,136.0,HOME,3.72,0.72,UNDER,46.28,-0.22,37.97,49.58,5.91
2025_16_PIT_DET,DET,PIT,HOME,0.53,0.47,No Bet,Bet,-325.0,260.0,HOME,7.72,0.72,OVER,53.62,2.12,45.55,59.04,5.91
2025_16_LV_HOU,HOU,LV,HOME,0.76,0.24,No Bet,Bet,-1350.0,800.0,HOME,15.22,0.72,OVER,45.77,8.27,35.31,54.14,5.91
2025_16_CIN_MIA,MIA,CIN,HOME,0.75,0.25,Bet,No Bet,170.0,-205.0,HOME,-2.78,0.72,UNDER,45.1,-2.4,33.76,52.9,5.91
2025_16_SF_IND,IND,SF,AWAY,0.49,0.51,Bet,No Bet,245.0,-305.0,HOME,-5.78,0.72,OVER,52.2,5.7,34.62,61.45,5.91
